ID,Reported Year,Total Dead and Missing,Lat,Long
380,2018,1,26.01009812,-97.39860685
381,2018,1,26.22230745,-98.45591776
382,2018,1,31.7343946,-112.1154922
383,2018,1,-25.727874,32.550056
384,2018,34,38.7984375,26.51754452
385,2018,1,22.396611,26.693147
386,2018,1,11.316667,-5.666667
387,2018,6,33.91935074,11.34777121
388,2018,1,10.283333,-4.916667
389,2018,3,6.666667,-1.616667
390,2018,1,6.133333,-5.933333
391,2018,2,10.867778,0.203611
392,2018,1,32.65666899,-116.0125638
393,2018,1,7.988257,-5.497591
394,2018,2,5.2,11.21
395,2018,2,5.2,11.21
396,2018,1,9.511606,44.059039
397,2018,1,11.183333,-4.283333
398,2018,1,18.7640625,-97.4066875
399,2018,2,11.53815274,-17.14215922
400,2018,1,41.74359982,26.06331147
401,2018,1,31.9163189,-112.9357799
402,2018,1,10.275137,98.786917
403,2018,1,16.87079,96.268316
404,2018,2,8.271988,34.587575
405,2018,2,21.943709,27.672666
406,2018,2,10.58,-3.15
407,2018,1,35.1294076,-3.3237902
408,2018,1,32.1314348,-112.3440313
409,2018,1,14.495833,-4.198611
410,2018,2,5.79077,9.3026
411,2018,1,15.670295,-1.329927
412,2018,34,35.93653286,-6.646877177
413,2018,1,28.33246077,-100.3032934
414,2018,1,33.5333125,12.6333125
415,2018,2,9.322813,42.787821
416,2018,1,9.599192,43.343533
417,2018,1,29.625085,20.386066
418,2018,7,40.71539639,26.02552249
419,2018,1,26.1576875,-98.3784375
420,2018,1,28.497581,-100.333312
421,2018,1,12.357222,-1.535278
422,2018,1,31.8812998,-112.8167426
423,2018,1,12.953846,36.152215
424,2018,1,11.783333,-0.366667
425,2018,1,23.43,-2.2
426,2018,1,36.72818455,-3.746214307
427,2018,1,31.80516946,14.02483689
428,2018,1,36.01381364,36.37569228
429,2018,1,-9.96284,33.931714
430,2018,1,18.07428,34.434549
431,2018,2,14.513764,39.383861
432,2018,1,26.23975657,-98.5649342
433,2018,1,27.60339887,-99.35648989
434,2018,3,3.536064,39.065407
435,2018,1,-13.66283,33.870444
436,2018,1,-13.86155,33.782244
437,2018,1,22.396611,26.693147
438,2018,2,18.07428,34.434549
439,2018,1,26.22235335,-98.47598489
440,2018,1,35.84452886,-5.324127404
441,2018,1,35.9389086,-3.0357141
442,2018,1,26.22443895,-98.44510598
443,2018,1,26.278674,-98.0555171
444,2018,1,31.8389427,-111.8432981
445,2018,1,32.0877596,-112.9058802
446,2018,1,-13.009242,40.527028
447,2018,2,20.610678,27.916851
448,2018,1,11.018296,42.62509
449,2018,2,31.723048,14.025968
450,2018,3,-15.137787,39.230025
451,2018,1,36.94148084,27.28634951
452,2018,1,50.97099851,1.850203958
453,2018,1,35.6649375,-5.2843125
454,2018,1,6.667462,101.219904
455,2018,1,11.312407,42.923337
456,2018,2,-13.86155,33.782244
457,2018,1,20.610678,27.916851
458,2018,1,34.52140759,35.48656828
459,2018,1,-25.727874,32.550056
460,2018,1,14.2236391,13.91707
461,2018,1,14.89296869,-92.27452373
462,2018,1,35.90403908,-5.272830746
463,2018,1,27.0281556,-98.20946731
464,2018,1,32.3859796,-113.0115156
465,2018,2,21.943709,27.672666
466,2018,1,-22.224428,29.988756
467,2018,2,-9.311028,32.777507
468,2018,1,15.28,-1.7
469,2018,1,16.967643,7.985137
470,2018,1,36.7444424,-3.167758518
471,2018,1,27.19614936,-98.19017665
472,2018,1,31.5217288,-111.0074089
473,2018,1,31.6848117,-111.9963539
474,2018,1,22.396611,26.693147
